origin                                             , destination                                        , mode   , distance_meters, distance_text, duration_seconds, duration_text  , duration_in_traffic_seconds, duration_in_traffic_text
Altes AKH                                          , Mittelalterlicher Adventmarkt                      , walking,            3741, 3.7 km       ,             3138, 52 mins        ,                            , 
Altes AKH                                          , Weihnachtsmarkt am Michaelerplatz                  , walking,            1599, 1.6 km       ,             1338, 22 mins        ,                            , 
Altes AKH                                          , Schloss Wilhelminenberg                            , walking,            5271, 5.3 km       ,             4927, 1 hour 22 mins ,                            , 
Altes AKH                                          , Advent in der Stallburg                            , walking,            1722, 1.7 km       ,             1441, 24 mins        ,                            , 
Altes AKH                                          , Adventmarkt Mariahilf                              , walking,            2313, 2.3 km       ,             1975, 33 mins        ,                            , 
Altes AKH                                          , IKEA Westbahnhof                                   , walking,            3231, 3.2 km       ,             2788, 46 mins        ,                            , 
Altes AKH                                          , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            6498, 6.5 km       ,             5398, 1 hour 30 mins ,                            , 
Altes AKH                                          , Adventmark Verkehrsmuseum Remise                   , walking,            5122, 5.1 km       ,             4222, 1 hour 10 mins ,                            , 
Altes AKH                                          , Weihnacht im Wald                                  , walking,            3531, 3.5 km       ,             2935, 49 mins        ,                            , 
Altes AKH                                          , Adventmarkt Favoriten                              , walking,            3741, 3.7 km       ,             3138, 52 mins        ,                            , 
Altes AKH                                          , Winterzauber im Böhmischen Prater                  , walking,            7452, 7.5 km       ,             6333, 1 hour 46 mins ,                            , 
Altes AKH                                          , Adventmarkt Meidling                               , walking,            3741, 3.7 km       ,             3138, 52 mins        ,                            , 
Altes AKH                                          , Ottakringer Weihnachtszauber                       , walking,            3645, 3.6 km       ,             3184, 53 mins        ,                            , 
Altes AKH                                          , Adventmarkt im Schloss Neugebäude                  , walking,            9996, 10.0 km      ,             8222, 2 hours 17 mins,                            , 
Am Hof                                             , MQ                                                 , walking,            1365, 1.4 km       ,             1181, 20 mins        ,                            , 
Am Hof                                             , Altes AKH                                          , walking,            1516, 1.5 km       ,             1315, 22 mins        ,                            , 
Am Hof                                             , Spittelberg                                        , walking,            1429, 1.4 km       ,             1239, 21 mins        ,                            , 
Am Hof                                             , Stephansplatz                                      , walking,             548, 0.5 km       ,              433, 7 mins         ,                            , 
Am Hof                                             , Opera                                              , walking,            5941, 5.9 km       ,             4983, 1 hour 23 mins ,                            , 
Am Hof                                             , Türkenschanzpark                                   , walking,            4208, 4.2 km       ,             3716, 1 hour 2 mins  ,                            , 
Am Hof                                             , Maria-Theresien-Platz                              , walking,             951, 1.0 km       ,              799, 13 mins        ,                            , 
Am Hof                                             , Blumengärten Hirschstetten                         , walking,           10551, 10.6 km      ,             8803, 2 hours 27 mins,                            , 
Am Hof                                             , Palais Liechtenstein                               , walking,            1663, 1.7 km       ,             1358, 23 mins        ,                            , 
Am Hof                                             , Belvedere                                          , walking,            2774, 2.8 km       ,             2349, 39 mins        ,                            , 
Am Hof                                             , Karlsplatz                                         , walking,            1506, 1.5 km       ,             1236, 21 mins        ,                            , 
Am Hof                                             , Messe                                              , walking,            3791, 3.8 km       ,             3163, 53 mins        ,                            , 
Am Hof                                             , Altwiener Christkindlmarkt                         , walking,             281, 0.3 km       ,              229, 4 mins         ,                            , 
Am Hof                                             , Biobauern-Adventmarkt                              , walking,            2954, 3.0 km       ,             2489, 41 mins        ,                            , 
Am Hof                                             , Rathaus                                            , walking,            1020, 1.0 km       ,              864, 14 mins        ,                            , 
Am Hof                                             , Schönbrunn                                         , walking,            7215, 7.2 km       ,             6125, 1 hour 42 mins ,                            , 
Am Hof                                             , Prater / Riesenrad                                 , walking,            2741, 2.7 km       ,             2260, 38 mins        ,                            , 
Am Hof                                             , Mittelalterlicher Adventmarkt                      , walking,            2954, 3.0 km       ,             2489, 41 mins        ,                            , 
Am Hof                                             , Weihnachtsmarkt am Michaelerplatz                  , walking,             445, 0.4 km       ,              356, 6 mins         ,                            , 
Am Hof                                             , Schloss Wilhelminenberg                            , walking,            6777, 6.8 km       ,             6212, 1 hour 44 mins ,                            , 
Am Hof                                             , Advent in der Stallburg                            , walking,             533, 0.5 km       ,              432, 7 mins         ,                            , 
Am Hof                                             , Adventmarkt Mariahilf                              , walking,            2103, 2.1 km       ,             1809, 30 mins        ,                            , 
Am Hof                                             , IKEA Westbahnhof                                   , walking,            3445, 3.4 km       ,             2952, 49 mins        ,                            , 
Am Hof                                             , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            6536, 6.5 km       ,             5442, 1 hour 31 mins ,                            , 
Am Hof                                             , Adventmark Verkehrsmuseum Remise                   , walking,            3646, 3.6 km       ,             2996, 50 mins        ,                            , 
Am Hof                                             , Weihnacht im Wald                                  , walking,            3405, 3.4 km       ,             2838, 47 mins        ,                            , 
Am Hof                                             , Adventmarkt Favoriten                              , walking,            2954, 3.0 km       ,             2489, 41 mins        ,                            , 
Am Hof                                             , Winterzauber im Böhmischen Prater                  , walking,            6294, 6.3 km       ,             5365, 1 hour 29 mins ,                            , 
Am Hof                                             , Adventmarkt Meidling                               , walking,            2954, 3.0 km       ,             2489, 41 mins        ,                            , 
Am Hof                                             , Ottakringer Weihnachtszauber                       , walking,            5077, 5.1 km       ,             4360, 1 hour 13 mins ,                            , 
Am Hof                                             , Adventmarkt im Schloss Neugebäude                  , walking,            8665, 8.7 km       ,             7083, 1 hour 58 mins ,                            , 
Spittelberg                                        , MQ                                                 , walking,              64, 64 m         ,               46, 1 min          ,                            , 
Spittelberg                                        , Altes AKH                                          , walking,            1592, 1.6 km       ,             1349, 22 mins        ,                            , 
Spittelberg                                        , Am Hof                                             , walking,            1429, 1.4 km       ,             1165, 19 mins        ,                            , 
Spittelberg                                        , Stephansplatz                                      , walking,            1758, 1.8 km       ,             1405, 23 mins        ,                            , 
Spittelberg                                        , Opera                                              , walking,            4487, 4.5 km       ,             3718, 1 hour 2 mins  ,                            , 
Spittelberg                                        , Türkenschanzpark                                   , walking,            4799, 4.8 km       ,             4163, 1 hour 9 mins  ,                            , 
Spittelberg                                        , Maria-Theresien-Platz                              , walking,             310, 0.3 km       ,              251, 4 mins         ,                            , 
Spittelberg                                        , Blumengärten Hirschstetten                         , walking,           11822, 11.8 km      ,             9802, 2 hours 43 mins,                            , 
Spittelberg                                        , Palais Liechtenstein                               , walking,            2471, 2.5 km       ,             2004, 33 mins        ,                            , 
Spittelberg                                        , Belvedere                                          , walking,            2777, 2.8 km       ,             2318, 39 mins        ,                            , 
Spittelberg                                        , Karlsplatz                                         , walking,            1434, 1.4 km       ,             1214, 20 mins        ,                            , 
Spittelberg                                        , Messe                                              , walking,            5062, 5.1 km       ,             4162, 1 hour 9 mins  ,                            , 
Spittelberg                                        , Altwiener Christkindlmarkt                         , walking,            1282, 1.3 km       ,             1025, 17 mins        ,                            , 
