origin                                             , destination                                        , mode   , distance_meters, distance_text, duration_seconds, duration_text  , duration_in_traffic_seconds, duration_in_traffic_text
Maria-Theresien-Platz                              , Türkenschanzpark                                   , walking,            4573, 4.6 km       ,             3995, 1 hour 7 mins  ,                            , 
Maria-Theresien-Platz                              , Blumengärten Hirschstetten                         , walking,           11249, 11.2 km      ,             9346, 2 hours 36 mins,                            , 
Maria-Theresien-Platz                              , Palais Liechtenstein                               , walking,            2148, 2.1 km       ,             1752, 29 mins        ,                            , 
Maria-Theresien-Platz                              , Belvedere                                          , walking,            2310, 2.3 km       ,             1952, 33 mins        ,                            , 
Maria-Theresien-Platz                              , Karlsplatz                                         , walking,             859, 0.9 km       ,              694, 12 mins        ,                            , 
Maria-Theresien-Platz                              , Messe                                              , walking,            4489, 4.5 km       ,             3705, 1 hour 2 mins  ,                            , 
Maria-Theresien-Platz                              , Altwiener Christkindlmarkt                         , walking,             958, 1.0 km       ,              771, 13 mins        ,                            , 
Maria-Theresien-Platz                              , Biobauern-Adventmarkt                              , walking,            2144, 2.1 km       ,             1803, 30 mins        ,                            , 
Maria-Theresien-Platz                              , Rathaus                                            , walking,             687, 0.7 km       ,              577, 10 mins        ,                            , 
Maria-Theresien-Platz                              , Schönbrunn                                         , walking,            6001, 6.0 km       ,             5106, 1 hour 25 mins ,                            , 
Maria-Theresien-Platz                              , Prater / Riesenrad                                 , walking,            3421, 3.4 km       ,             2808, 47 mins        ,                            , 
Maria-Theresien-Platz                              , Mittelalterlicher Adventmarkt                      , walking,            2144, 2.1 km       ,             1803, 30 mins        ,                            , 
Maria-Theresien-Platz                              , Weihnachtsmarkt am Michaelerplatz                  , walking,             517, 0.5 km       ,              418, 7 mins         ,                            , 
Maria-Theresien-Platz                              , Schloss Wilhelminenberg                            , walking,            6153, 6.2 km       ,             5666, 1 hour 34 mins ,                            , 
Maria-Theresien-Platz                              , Advent in der Stallburg                            , walking,             546, 0.5 km       ,              446, 7 mins         ,                            , 
Maria-Theresien-Platz                              , Adventmarkt Mariahilf                              , walking,             889, 0.9 km       ,              790, 13 mins        ,                            , 
Maria-Theresien-Platz                              , IKEA Westbahnhof                                   , walking,            2231, 2.2 km       ,             1933, 32 mins        ,                            , 
Maria-Theresien-Platz                              , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            7171, 7.2 km       ,             5959, 1 hour 39 mins ,                            , 
Maria-Theresien-Platz                              , Adventmark Verkehrsmuseum Remise                   , walking,            3898, 3.9 km       ,             3180, 53 mins        ,                            , 
Maria-Theresien-Platz                              , Weihnacht im Wald                                  , walking,            2191, 2.2 km       ,             1819, 30 mins        ,                            , 
Maria-Theresien-Platz                              , Adventmarkt Favoriten                              , walking,            2144, 2.1 km       ,             1803, 30 mins        ,                            , 
Maria-Theresien-Platz                              , Winterzauber im Böhmischen Prater                  , walking,            5829, 5.8 km       ,             4968, 1 hour 23 mins ,                            , 
Maria-Theresien-Platz                              , Adventmarkt Meidling                               , walking,            2144, 2.1 km       ,             1803, 30 mins        ,                            , 
Maria-Theresien-Platz                              , Ottakringer Weihnachtszauber                       , walking,            4133, 4.1 km       ,             3565, 59 mins        ,                            , 
Maria-Theresien-Platz                              , Adventmarkt im Schloss Neugebäude                  , walking,            8235, 8.2 km       ,             6748, 1 hour 52 mins ,                            , 
Blumengärten Hirschstetten                         , MQ                                                 , walking,           11766, 11.8 km      ,             9932, 2 hours 46 mins,                            , 
Blumengärten Hirschstetten                         , Altes AKH                                          , walking,           11610, 11.6 km      ,             9839, 2 hours 44 mins,                            , 
Blumengärten Hirschstetten                         , Am Hof                                             , walking,           10551, 10.6 km      ,             8877, 2 hours 28 mins,                            , 
Blumengärten Hirschstetten                         , Spittelberg                                        , walking,           11822, 11.8 km      ,             9985, 2 hours 46 mins,                            , 
Blumengärten Hirschstetten                         , Stephansplatz                                      , walking,           10283, 10.3 km      ,             8659, 2 hours 24 mins,                            , 
Blumengärten Hirschstetten                         , Opera                                              , walking,           16239, 16.2 km      ,            13660, 3 hours 48 mins,                            , 
Blumengärten Hirschstetten                         , Türkenschanzpark                                   , walking,           12998, 13.0 km      ,            11000, 3 hours 3 mins ,                            , 
Blumengärten Hirschstetten                         , Maria-Theresien-Platz                              , walking,           11249, 11.2 km      ,             9476, 2 hours 38 mins,                            , 
Blumengärten Hirschstetten                         , Palais Liechtenstein                               , walking,           11080, 11.1 km      ,             9295, 2 hours 35 mins,                            , 
Blumengärten Hirschstetten                         , Belvedere                                          , walking,           11960, 12.0 km      ,             9934, 2 hours 46 mins,                            , 
Blumengärten Hirschstetten                         , Karlsplatz                                         , walking,           11088, 11.1 km      ,             9344, 2 hours 36 mins,                            , 
Blumengärten Hirschstetten                         , Messe                                              , walking,            8202, 8.2 km       ,             6793, 1 hour 53 mins ,                            , 
Blumengärten Hirschstetten                         , Altwiener Christkindlmarkt                         , walking,           10692, 10.7 km      ,             8990, 2 hours 30 mins,                            , 
Blumengärten Hirschstetten                         , Biobauern-Adventmarkt                              , walking,           12674, 12.7 km      ,            10690, 2 hours 58 mins,                            , 
Blumengärten Hirschstetten                         , Rathaus                                            , walking,           11431, 11.4 km      ,             9625, 2 hours 40 mins,                            , 
Blumengärten Hirschstetten                         , Schönbrunn                                         , walking,           17373, 17.4 km      ,            14748, 4 hours 6 mins ,                            , 
Blumengärten Hirschstetten                         , Prater / Riesenrad                                 , walking,            8346, 8.3 km       ,             7012, 1 hour 57 mins ,                            , 
Blumengärten Hirschstetten                         , Mittelalterlicher Adventmarkt                      , walking,           12674, 12.7 km      ,            10690, 2 hours 58 mins,                            , 
Blumengärten Hirschstetten                         , Weihnachtsmarkt am Michaelerplatz                  , walking,           10742, 10.7 km      ,             9033, 2 hours 31 mins,                            , 
Blumengärten Hirschstetten                         , Schloss Wilhelminenberg                            , walking,           16882, 16.9 km      ,            14767, 4 hours 6 mins ,                            , 
Blumengärten Hirschstetten                         , Advent in der Stallburg                            , walking,           10846, 10.8 km      ,             9124, 2 hours 32 mins,                            , 
Blumengärten Hirschstetten                         , Adventmarkt Mariahilf                              , walking,           12401, 12.4 km      ,            10486, 2 hours 55 mins,                            , 
Blumengärten Hirschstetten                         , IKEA Westbahnhof                                   , walking,           13743, 13.7 km      ,            11628, 3 hours 14 mins,                            , 
Blumengärten Hirschstetten                         , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            7098, 7.1 km       ,             5919, 1 hour 39 mins ,                            , 
Blumengärten Hirschstetten                         , Adventmark Verkehrsmuseum Remise                   , walking,            9252, 9.3 km       ,             7599, 2 hours 7 mins ,                            , 
Blumengärten Hirschstetten                         , Weihnacht im Wald                                  , walking,           13405, 13.4 km      ,            11283, 3 hours 8 mins ,                            , 
Blumengärten Hirschstetten                         , Adventmarkt Favoriten                              , walking,           12674, 12.7 km      ,            10690, 2 hours 58 mins,                            , 
Blumengärten Hirschstetten                         , Winterzauber im Böhmischen Prater                  , walking,           12988, 13.0 km      ,            10962, 3 hours 3 mins ,                            , 
Blumengärten Hirschstetten                         , Adventmarkt Meidling                               , walking,           12674, 12.7 km      ,            10690, 2 hours 58 mins,                            , 
Blumengärten Hirschstetten                         , Ottakringer Weihnachtszauber                       , walking,           15256, 15.3 km      ,            13023, 3 hours 37 mins,                            , 
Blumengärten Hirschstetten                         , Adventmarkt im Schloss Neugebäude                  , walking,           12894, 12.9 km      ,            10601, 2 hours 57 mins,                            , 
Palais Liechtenstein                               , MQ                                                 , walking,            2407, 2.4 km       ,             2091, 35 mins        ,                            , 
Palais Liechtenstein                               , Altes AKH                                          , walking,            1309, 1.3 km       ,             1147, 19 mins        ,                            , 
Palais Liechtenstein                               , Am Hof                                             , walking,            1663, 1.7 km       ,             1424, 24 mins        ,                            , 
Palais Liechtenstein                               , Spittelberg                                        , walking,            2471, 2.5 km       ,             2149, 36 mins        ,                            , 
Palais Liechtenstein                               , Stephansplatz                                      , walking,            2124, 2.1 km       ,             1793, 30 mins        ,                            , 
Palais Liechtenstein                               , Opera                                              , walking,            6614, 6.6 km       ,             5673, 1 hour 35 mins ,                            , 
Palais Liechtenstein                               , Türkenschanzpark                                   , walking,            2937, 2.9 km       ,             2654, 44 mins        ,                            , 
Palais Liechtenstein                               , Maria-Theresien-Platz                              , walking,            2148, 2.1 km       ,             1843, 31 mins        ,                            , 
Palais Liechtenstein                               , Blumengärten Hirschstetten                         , walking,           11080, 11.1 km      ,             9269, 2 hours 34 mins,                            , 
Palais Liechtenstein                               , Belvedere                                          , walking,            4290, 4.3 km       ,             3671, 1 hour 1 min   ,                            , 
Palais Liechtenstein                               , Karlsplatz                                         , walking,            2993, 3.0 km       ,             2534, 42 mins        ,                            , 
Palais Liechtenstein                               , Messe                                              , walking,            4371, 4.4 km       ,             3672, 1 hour 1 min   ,                            , 
Palais Liechtenstein                               , Altwiener Christkindlmarkt                         , walking,            1502, 1.5 km       ,             1303, 22 mins        ,                            , 
Palais Liechtenstein                               , Biobauern-Adventmarkt                              , walking,            4424, 4.4 km       ,             3771, 1 hour 3 mins  ,                            , 
Palais Liechtenstein                               , Rathaus                                            , walking,            1514, 1.5 km       ,             1323, 22 mins        ,                            , 
Palais Liechtenstein                               , Schönbrunn                                         , walking,            8150, 8.2 km       ,             6945, 1 hour 56 mins ,                            , 
Palais Liechtenstein                               , Prater / Riesenrad                                 , walking,            3347, 3.3 km       ,             2800, 47 mins        ,                            , 
Palais Liechtenstein                               , Mittelalterlicher Adventmarkt                      , walking,            4424, 4.4 km       ,             3771, 1 hour 3 mins  ,                            , 
Palais Liechtenstein                               , Weihnachtsmarkt am Michaelerplatz                  , walking,            1880, 1.9 km       ,             1611, 27 mins        ,                            , 
Palais Liechtenstein                               , Schloss Wilhelminenberg                            , walking,            6175, 6.2 km       ,             5779, 1 hour 36 mins ,                            , 
Palais Liechtenstein                               , Advent in der Stallburg                            , walking,            2003, 2.0 km       ,             1714, 29 mins        ,                            , 
Palais Liechtenstein                               , Adventmarkt Mariahilf                              , walking,            3292, 3.3 km       ,             2845, 47 mins        ,                            , 
Palais Liechtenstein                               , IKEA Westbahnhof                                   , walking,            4487, 4.5 km       ,             3939, 1 hour 6 mins  ,                            , 
Palais Liechtenstein                               , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            5387, 5.4 km       ,             4508, 1 hour 15 mins ,                            , 
Palais Liechtenstein                               , Adventmark Verkehrsmuseum Remise                   , walking,            5000, 5.0 km       ,             4177, 1 hour 10 mins ,                            , 
Palais Liechtenstein                               , Weihnacht im Wald                                  , walking,            4625, 4.6 km       ,             3897, 1 hour 5 mins  ,                            , 
Palais Liechtenstein                               , Adventmarkt Favoriten                              , walking,            4424, 4.4 km       ,             3771, 1 hour 3 mins  ,                            , 
Palais Liechtenstein                               , Winterzauber im Böhmischen Prater                  , walking,            7810, 7.8 km       ,             6687, 1 hour 51 mins ,                            , 
Palais Liechtenstein                               , Adventmarkt Meidling                               , walking,            4424, 4.4 km       ,             3771, 1 hour 3 mins  ,                            , 
Palais Liechtenstein                               , Ottakringer Weihnachtszauber                       , walking,            4659, 4.7 km       ,             4131, 1 hour 9 mins  ,                            , 
Palais Liechtenstein                               , Adventmarkt im Schloss Neugebäude                  , walking,            9999, 10.0 km      ,             8274, 2 hours 18 mins,                            , 
Belvedere                                          , MQ                                                 , walking,            2332, 2.3 km       ,             1918, 32 mins        ,                            , 
Belvedere                                          , Altes AKH                                          , walking,            4071, 4.1 km       ,             3355, 56 mins        ,                            , 
Belvedere                                          , Am Hof                                             , walking,            2774, 2.8 km       ,             2234, 37 mins        ,                            , 
Belvedere                                          , Spittelberg                                        , walking,            2786, 2.8 km       ,             2296, 38 mins        ,                            , 
Belvedere                                          , Stephansplatz                                      , walking,            2411, 2.4 km       ,             1941, 32 mins        ,                            , 
Belvedere                                          , Opera                                              , walking,            6592, 6.6 km       ,             5508, 1 hour 32 mins ,                            , 
Belvedere                                          , Türkenschanzpark                                   , walking,            6714, 6.7 km       ,             5741, 1 hour 36 mins ,                            , 
Belvedere                                          , Maria-Theresien-Platz                              , walking,            2310, 2.3 km       ,             1871, 31 mins        ,                            , 
Belvedere                                          , Blumengärten Hirschstetten                         , walking,           11947, 11.9 km      ,             9767, 2 hours 43 mins,                            , 
Belvedere                                          , Palais Liechtenstein                               , walking,            4290, 4.3 km       ,             3498, 58 mins        ,                            , 
Belvedere                                          , Karlsplatz                                         , walking,            1457, 1.5 km       ,             1117, 19 mins        ,                            , 
Belvedere                                          , Messe                                              , walking,            4501, 4.5 km       ,             3637, 1 hour 1 min   ,                            , 
Belvedere                                          , Altwiener Christkindlmarkt                         , walking,            2859, 2.9 km       ,             2315, 39 mins        ,                            , 
Belvedere                                          , Biobauern-Adventmarkt                              , walking,            1929, 1.9 km       ,             1566, 26 mins        ,                            , 
Belvedere                                          , Rathaus                                            , walking,            3224, 3.2 km       ,             2627, 44 mins        ,                            , 
Belvedere                                          , Schönbrunn                                         , walking,            6677, 6.7 km       ,             5652, 1 hour 34 mins ,                            , 
Belvedere                                          , Prater / Riesenrad                                 , walking,            3547, 3.5 km       ,             2880, 48 mins        ,                            , 
Belvedere                                          , Mittelalterlicher Adventmarkt                      , walking,            1929, 1.9 km       ,             1566, 26 mins        ,                            , 
Belvedere                                          , Weihnachtsmarkt am Michaelerplatz                  , walking,            2402, 2.4 km       ,             1945, 32 mins        ,                            , 
Belvedere                                          , Schloss Wilhelminenberg                            , walking,            8622, 8.6 km       ,             7690, 2 hours 8 mins ,                            , 
Belvedere                                          , Advent in der Stallburg                            , walking,            2287, 2.3 km       ,             1857, 31 mins        ,                            , 
Belvedere                                          , Adventmarkt Mariahilf                              , walking,            2926, 2.9 km       ,             2441, 41 mins        ,                            , 
Belvedere                                          , IKEA Westbahnhof                                   , walking,            4191, 4.2 km       ,             3525, 59 mins        ,                            , 
Belvedere                                          , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            8795, 8.8 km       ,             7216, 2 hours 0 mins ,                            , 
Belvedere                                          , Adventmark Verkehrsmuseum Remise                   , walking,            2694, 2.7 km       ,             2155, 36 mins        ,                            , 
Belvedere                                          , Weihnacht im Wald                                  , walking,            3110, 3.1 km       ,             2539, 42 mins        ,                            , 
Belvedere                                          , Adventmarkt Favoriten                              , walking,            1929, 1.9 km       ,             1566, 26 mins        ,                            , 
Belvedere                                          , Winterzauber im Böhmischen Prater                  , walking,            3645, 3.6 km       ,             3121, 52 mins        ,                            , 
Belvedere                                          , Adventmarkt Meidling                               , walking,            1929, 1.9 km       ,             1566, 26 mins        ,                            , 
Belvedere                                          , Ottakringer Weihnachtszauber                       , walking,            6602, 6.6 km       ,             5589, 1 hour 33 mins ,                            , 
Belvedere                                          , Adventmarkt im Schloss Neugebäude                  , walking,            6589, 6.6 km       ,             5331, 1 hour 29 mins ,                            , 
Karlsplatz                                         , MQ                                                 , walking,             989, 1.0 km       ,              945, 16 mins        ,                            , 
Karlsplatz                                         , Altes AKH                                          , walking,            2620, 2.6 km       ,             2228, 37 mins        ,                            , 
Karlsplatz                                         , Am Hof                                             , walking,            1506, 1.5 km       ,             1252, 21 mins        ,                            , 
Karlsplatz                                         , Spittelberg                                        , walking,            1443, 1.4 km       ,             1323, 22 mins        ,                            , 
Karlsplatz                                         , Stephansplatz                                      , walking,            1214, 1.2 km       ,             1009, 17 mins        ,                            , 
Karlsplatz                                         , Opera                                              , walking,            5461, 5.5 km       ,             4672, 1 hour 18 mins ,                            , 
Karlsplatz                                         , Türkenschanzpark                                   , walking,            5418, 5.4 km       ,             4737, 1 hour 19 mins ,                            , 
Karlsplatz                                         , Maria-Theresien-Platz                              , walking,             859, 0.9 km       ,              744, 12 mins        ,                            , 
Karlsplatz                                         , Blumengärten Hirschstetten                         , walking,           11087, 11.1 km      ,             9290, 2 hours 35 mins,                            , 
Karlsplatz                                         , Palais Liechtenstein                               , walking,            2993, 3.0 km       ,             2494, 42 mins        ,                            , 
Karlsplatz                                         , Belvedere                                          , walking,            1457, 1.5 km       ,             1271, 21 mins        ,                            , 
Karlsplatz                                         , Messe                                              , walking,            4313, 4.3 km       ,             3622, 1 hour 0 mins  ,                            , 
Karlsplatz                                         , Altwiener Christkindlmarkt                         , walking,            1562, 1.6 km       ,             1311, 22 mins        ,                            , 
Karlsplatz                                         , Biobauern-Adventmarkt                              , walking,            1823, 1.8 km       ,             1544, 26 mins        ,                            , 
Karlsplatz                                         , Rathaus                                            , walking,            1774, 1.8 km       ,             1500, 25 mins        ,                            , 
Karlsplatz                                         , Schönbrunn                                         , walking,            6340, 6.3 km       ,             5460, 1 hour 31 mins ,                            , 
Karlsplatz                                         , Prater / Riesenrad                                 , walking,            3156, 3.2 km       ,             2617, 44 mins        ,                            , 
Karlsplatz                                         , Mittelalterlicher Adventmarkt                      , walking,            1823, 1.8 km       ,             1544, 26 mins        ,                            , 
Karlsplatz                                         , Weihnachtsmarkt am Michaelerplatz                  , walking,            1105, 1.1 km       ,              941, 16 mins        ,                            , 
Karlsplatz                                         , Schloss Wilhelminenberg                            , walking,            7290, 7.3 km       ,             6643, 1 hour 51 mins ,                            , 
Karlsplatz                                         , Advent in der Stallburg                            , walking,             991, 1.0 km       ,              853, 14 mins        ,                            , 
Karlsplatz                                         , Adventmarkt Mariahilf                              , walking,            1624, 1.6 km       ,             1498, 25 mins        ,                            , 
Karlsplatz                                         , IKEA Westbahnhof                                   , walking,            2966, 3.0 km       ,             2641, 44 mins        ,                            , 
Karlsplatz                                         , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            7813, 7.8 km       ,             6484, 1 hour 48 mins ,                            , 
Karlsplatz                                         , Adventmark Verkehrsmuseum Remise                   , walking,            3163, 3.2 km       ,             2620, 44 mins        ,                            , 
Karlsplatz                                         , Weihnacht im Wald                                  , walking,            2372, 2.4 km       ,             1995, 33 mins        ,                            , 
Karlsplatz                                         , Adventmarkt Favoriten                              , walking,            1823, 1.8 km       ,             1544, 26 mins        ,                            , 
Karlsplatz                                         , Winterzauber im Böhmischen Prater                  , walking,            4992, 5.0 km       ,             4268, 1 hour 11 mins ,                            , 
Karlsplatz                                         , Adventmarkt Meidling                               , walking,            1823, 1.8 km       ,             1544, 26 mins        ,                            , 
Karlsplatz                                         , Ottakringer Weihnachtszauber                       , walking,            5269, 5.3 km       ,             4541, 1 hour 16 mins ,                            , 
Karlsplatz                                         , Adventmarkt im Schloss Neugebäude                  , walking,            7496, 7.5 km       ,             6157, 1 hour 43 mins ,                            , 
Messe                                              , MQ                                                 , walking,            5059, 5.1 km       ,             4336, 1 hour 12 mins ,                            , 
Messe                                              , Altes AKH                                          , walking,            4901, 4.9 km       ,             4222, 1 hour 10 mins ,                            , 
Messe                                              , Am Hof                                             , walking,            3792, 3.8 km       ,             3221, 54 mins        ,                            , 
Messe                                              , Spittelberg                                        , walking,            5249, 5.2 km       ,             4371, 1 hour 13 mins ,                            , 
Messe                                              , Stephansplatz                                      , walking,            3638, 3.6 km       ,             2983, 50 mins        ,                            , 
Messe                                              , Opera                                              , walking,            9532, 9.5 km       ,             8063, 2 hours 14 mins,                            , 
Messe                                              , Türkenschanzpark                                   , walking,            6900, 6.9 km       ,             6076, 1 hour 41 mins ,                            , 
Messe                                              , Maria-Theresien-Platz                              , walking,            4676, 4.7 km       ,             3862, 1 hour 4 mins  ,                            , 
Messe                                              , Blumengärten Hirschstetten                         , walking,            8204, 8.2 km       ,             6791, 1 hour 53 mins ,                            , 
Messe                                              , Palais Liechtenstein                               , walking,            4371, 4.4 km       ,             3678, 1 hour 1 min   ,                            , 
Messe                                              , Belvedere                                          , walking,            4492, 4.5 km       ,             3799, 1 hour 3 mins  ,                            , 
Messe                                              , Karlsplatz                                         , walking,            4314, 4.3 km       ,             3655, 1 hour 1 min   ,                            , 
Messe                                              , Altwiener Christkindlmarkt                         , walking,            3932, 3.9 km       ,             3333, 56 mins        ,                            , 
Messe                                              , Biobauern-Adventmarkt                              , walking,            5900, 5.9 km       ,             5002, 1 hour 23 mins ,                            , 
Messe                                              , Rathaus                                            , walking,            4671, 4.7 km       ,             3969, 1 hour 6 mins  ,                            , 
Messe                                              , Schönbrunn                                         , walking,           10599, 10.6 km      ,             9059, 2 hours 31 mins,                            , 
Messe                                              , Prater / Riesenrad                                 , walking,            1227, 1.2 km       ,              993, 17 mins        ,                            , 
Messe                                              , Mittelalterlicher Adventmarkt                      , walking,            5900, 5.9 km       ,             5002, 1 hour 23 mins ,                            , 
Messe                                              , Weihnachtsmarkt am Michaelerplatz                  , walking,            4170, 4.2 km       ,             3420, 57 mins        ,                            , 
Messe                                              , Schloss Wilhelminenberg                            , walking,           10173, 10.2 km      ,             9149, 2 hours 32 mins,                            , 
Messe                                              , Advent in der Stallburg                            , walking,            4200, 4.2 km       ,             3447, 57 mins        ,                            , 
Messe                                              , Adventmarkt Mariahilf                              , walking,            5694, 5.7 km       ,             4889, 1 hour 21 mins ,                            , 
Messe                                              , IKEA Westbahnhof                                   , walking,            7037, 7.0 km       ,             6032, 1 hour 41 mins ,                            , 
Messe                                              , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            5610, 5.6 km       ,             4607, 1 hour 17 mins ,                            , 
Messe                                              , Adventmark Verkehrsmuseum Remise                   , walking,            3209, 3.2 km       ,             2585, 43 mins        ,                            , 
Messe                                              , Weihnacht im Wald                                  , walking,            6631, 6.6 km       ,             5594, 1 hour 33 mins ,                            , 
Messe                                              , Adventmarkt Favoriten                              , walking,            5900, 5.9 km       ,             5002, 1 hour 23 mins ,                            , 
Messe                                              , Winterzauber im Böhmischen Prater                  , walking,            7682, 7.7 km       ,             6600, 1 hour 50 mins ,                            , 
Messe                                              , Adventmarkt Meidling                               , walking,            5900, 5.9 km       ,             5002, 1 hour 23 mins ,                            , 
Messe                                              , Ottakringer Weihnachtszauber                       , walking,            8547, 8.5 km       ,             7406, 2 hours 3 mins ,                            , 
Messe                                              , Adventmarkt im Schloss Neugebäude                  , walking,            8739, 8.7 km       ,             7126, 1 hour 59 mins ,                            , 
Altwiener Christkindlmarkt                         , MQ                                                 , walking,            1218, 1.2 km       ,             1055, 18 mins        ,                            , 
Altwiener Christkindlmarkt                         , Altes AKH                                          , walking,            1236, 1.2 km       ,             1087, 18 mins        ,                            , 
Altwiener Christkindlmarkt                         , Am Hof                                             , walking,             281, 0.3 km       ,              234, 4 mins         ,                            , 
Altwiener Christkindlmarkt                         , Spittelberg                                        , walking,            1282, 1.3 km       ,             1112, 19 mins        ,                            , 
Altwiener Christkindlmarkt                         , Stephansplatz                                      , walking,             781, 0.8 km       ,              629, 10 mins        ,                            , 
Altwiener Christkindlmarkt                         , Opera                                              , walking,            5759, 5.8 km       ,             4826, 1 hour 20 mins ,                            , 
Altwiener Christkindlmarkt                         , Türkenschanzpark                                   , walking,            3927, 3.9 km       ,             3487, 58 mins        ,                            , 
Altwiener Christkindlmarkt                         , Maria-Theresien-Platz                              , walking,             958, 1.0 km       ,              810, 14 mins        ,                            , 
Altwiener Christkindlmarkt                         , Blumengärten Hirschstetten                         , walking,           10692, 10.7 km      ,             8895, 2 hours 28 mins,                            , 
Altwiener Christkindlmarkt                         , Palais Liechtenstein                               , walking,            1502, 1.5 km       ,             1244, 21 mins        ,                            , 
Altwiener Christkindlmarkt                         , Belvedere                                          , walking,            2859, 2.9 km       ,             2429, 40 mins        ,                            , 
Altwiener Christkindlmarkt                         , Karlsplatz                                         , walking,            1562, 1.6 km       ,             1292, 22 mins        ,                            , 
Altwiener Christkindlmarkt                         , Messe                                              , walking,            3932, 3.9 km       ,             3255, 54 mins        ,                            , 
Altwiener Christkindlmarkt                         , Biobauern-Adventmarkt                              , walking,            2993, 3.0 km       ,             2530, 42 mins        ,                            , 
Altwiener Christkindlmarkt                         , Rathaus                                            , walking,             739, 0.7 km       ,              636, 11 mins        ,                            , 
Altwiener Christkindlmarkt                         , Schönbrunn                                         , walking,            7222, 7.2 km       ,             6136, 1 hour 42 mins ,                            , 
Altwiener Christkindlmarkt                         , Prater / Riesenrad                                 , walking,            2913, 2.9 km       ,             2401, 40 mins        ,                            , 
Altwiener Christkindlmarkt                         , Mittelalterlicher Adventmarkt                      , walking,            2993, 3.0 km       ,             2530, 42 mins        ,                            , 
Altwiener Christkindlmarkt                         , Weihnachtsmarkt am Michaelerplatz                  , walking,             449, 0.4 km       ,              369, 6 mins         ,                            , 
Altwiener Christkindlmarkt                         , Schloss Wilhelminenberg                            , walking,            6496, 6.5 km       ,             5983, 1 hour 40 mins ,                            , 
Altwiener Christkindlmarkt                         , Advent in der Stallburg                            , walking,             572, 0.6 km       ,              472, 8 mins         ,                            , 
Altwiener Christkindlmarkt                         , Adventmarkt Mariahilf                              , walking,            2110, 2.1 km       ,             1820, 30 mins        ,                            , 
Altwiener Christkindlmarkt                         , IKEA Westbahnhof                                   , walking,            3452, 3.5 km       ,             2963, 49 mins        ,                            , 
Altwiener Christkindlmarkt                         , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            6486, 6.5 km       ,             5410, 1 hour 30 mins ,                            , 
Altwiener Christkindlmarkt                         , Adventmark Verkehrsmuseum Remise                   , walking,            3879, 3.9 km       ,             3192, 53 mins        ,                            , 
Altwiener Christkindlmarkt                         , Weihnacht im Wald                                  , walking,            3411, 3.4 km       ,             2849, 47 mins        ,                            , 
Altwiener Christkindlmarkt                         , Adventmarkt Favoriten                              , walking,            2993, 3.0 km       ,             2530, 42 mins        ,                            , 
Altwiener Christkindlmarkt                         , Winterzauber im Böhmischen Prater                  , walking,            6379, 6.4 km       ,             5445, 1 hour 31 mins ,                            , 
Altwiener Christkindlmarkt                         , Adventmarkt Meidling                               , walking,            2993, 3.0 km       ,             2530, 42 mins        ,                            , 
Altwiener Christkindlmarkt                         , Ottakringer Weihnachtszauber                       , walking,            4671, 4.7 km       ,             4058, 1 hour 8 mins  ,                            , 
Altwiener Christkindlmarkt                         , Adventmarkt im Schloss Neugebäude                  , walking,            8810, 8.8 km       ,             7208, 2 hours 0 mins ,                            , 
Biobauern-Adventmarkt                              , MQ                                                 , walking,            1928, 1.9 km       ,             1627, 27 mins        ,                            , 
