origin,destination,distance_meters,duration_walking_sec,duration_walking_min,duration_public_transport_sec,duration_public_transport_min
Am Hof                                             , Schloss Wilhelminenberg                            ,6777,6212,104,,
Am Hof                                             , Advent in der Stallburg                            ,533,432,8,,
Am Hof                                             , Adventmarkt Mariahilf                              ,2103,1809,31,,
Am Hof                                             , IKEA Westbahnhof                                   ,3445,2952,50,,
Am Hof                                             , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),6536,5442,91,,
Am Hof                                             , Adventmark Verkehrsmuseum Remise                   ,3646,2996,50,,
Am Hof                                             , Weihnacht im Wald                                  ,3405,2838,48,,
Am Hof                                             , Adventmarkt Favoriten                              ,2954,2489,42,,
Am Hof                                             , Winterzauber im Böhmischen Prater                  ,6294,5365,90,,
Am Hof                                             , Adventmarkt Meidling                               ,2954,2489,42,,
Am Hof                                             , Ottakringer Weihnachtszauber                       ,5077,4360,73,,
Am Hof                                             , Adventmarkt im Schloss Neugebäude                  ,8665,7083,119,,
Spittelberg                                        , MQ                                                 ,64,46,1,,
Spittelberg                                        , Altes AKH                                          ,1592,1349,23,,
Spittelberg                                        , Am Hof                                             ,1429,1165,20,,
Spittelberg                                        , Stephansplatz                                      ,1758,1405,24,,
Spittelberg                                        , Opera                                              ,4487,3718,62,,
Spittelberg                                        , Türkenschanzpark                                   ,4799,4163,70,,
Spittelberg                                        , Maria-Theresien-Platz                              ,310,251,5,,
Spittelberg                                        , Blumengärten Hirschstetten                         ,11822,9802,164,,
Spittelberg                                        , Palais Liechtenstein                               ,2471,2004,34,,
Spittelberg                                        , Belvedere                                          ,2777,2318,39,,
Spittelberg                                        , Karlsplatz                                         ,1434,1214,21,,
Spittelberg                                        , Messe                                              ,5062,4162,70,,
Spittelberg                                        , Altwiener Christkindlmarkt                         ,1282,1025,18,,
Spittelberg                                        , Biobauern-Adventmarkt                              ,2192,1815,31,,
Spittelberg                                        , Rathaus                                            ,933,766,13,,
Spittelberg                                        , Schönbrunn                                         ,5943,5016,84,,
Spittelberg                                        , Prater / Riesenrad                                 ,3994,3265,55,,
Spittelberg                                        , Mittelalterlicher Adventmarkt                      ,2192,1815,31,,
Spittelberg                                        , Weihnachtsmarkt am Michaelerplatz                  ,1090,874,15,,
Spittelberg                                        , Schloss Wilhelminenberg                            ,6101,5609,94,,
Spittelberg                                        , Advent in der Stallburg                            ,1119,902,16,,
Spittelberg                                        , Adventmarkt Mariahilf                              ,831,700,12,,
Spittelberg                                        , IKEA Westbahnhof                                   ,2173,1843,31,,
Spittelberg                                        , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),7494,6211,104,,
Spittelberg                                        , Adventmark Verkehrsmuseum Remise                   ,4555,3700,62,,
Spittelberg                                        , Weihnacht im Wald                                  ,2154,1748,30,,
Spittelberg                                        , Adventmarkt Favoriten                              ,2192,1815,31,,
Spittelberg                                        , Winterzauber im Böhmischen Prater                  ,6211,5234,88,,
Spittelberg                                        , Adventmarkt Meidling                               ,2192,1815,31,,
Spittelberg                                        , Ottakringer Weihnachtszauber                       ,4081,3508,59,,
Spittelberg                                        , Adventmarkt im Schloss Neugebäude                  ,8816,7204,121,,
Stephansplatz                                      , MQ                                                 ,1656,1423,24,,
Stephansplatz                                      , Altes AKH                                          ,2016,1724,29,,
Stephansplatz                                      , Am Hof                                             ,548,449,8,,
Stephansplatz                                      , Spittelberg                                        ,1758,1506,26,,
Stephansplatz                                      , Opera                                              ,6129,5150,86,,
Stephansplatz                                      , Türkenschanzpark                                   ,4707,4123,69,,
Stephansplatz                                      , Maria-Theresien-Platz                              ,1185,997,17,,
Stephansplatz                                      , Blumengärten Hirschstetten                         ,10283,8581,144,,
Stephansplatz                                      , Palais Liechtenstein                               ,2124,1742,30,,
Stephansplatz                                      , Belvedere                                          ,2456,2091,35,,
Stephansplatz                                      , Karlsplatz                                         ,1214,1011,17,,
Stephansplatz                                      , Messe                                              ,3531,2963,50,,
Stephansplatz                                      , Altwiener Christkindlmarkt                         ,781,640,11,,
Stephansplatz                                      , Biobauern-Adventmarkt                              ,2786,2339,39,,
Stephansplatz                                      , Rathaus                                            ,1520,1273,22,,
Stephansplatz                                      , Schönbrunn                                         ,7304,6256,105,,
Stephansplatz                                      , Prater / Riesenrad                                 ,2382,1977,33,,
Stephansplatz                                      , Mittelalterlicher Adventmarkt                      ,2786,2339,39,,
Stephansplatz                                      , Weihnachtsmarkt am Michaelerplatz                  ,679,554,10,,
Stephansplatz                                      , Schloss Wilhelminenberg                            ,7277,6620,111,,
Stephansplatz                                      , Advent in der Stallburg                            ,709,586,10,,
Stephansplatz                                      , Adventmarkt Mariahilf                              ,2291,1977,33,,
